M0,g,gv,ch,cl,total_widthV0,BRWW,BRhZ,BRuu,BRdd,BRnunu,BRbb,BRtt,BRjets,BRll
4000.0,0.6534,3.0,2.33333,-11.24302,1439.4436,0.25005993,0.23826557,0.06403009,0.063978165,0.06392628,0.0639779,0.06367177,0.38366616,0.042721376
4000.0,0.6534,3.0,2.41667,-11.24302,1493.6027,0.2606475,0.24733502,0.061571296,0.061519254,0.061467256,0.061519,0.06122676,0.36892685,0.041082256
4000.0,0.6534,3.0,2.5,-11.24302,1550.4989,0.27102387,0.25607404,0.05918022,0.059128135,0.0590761,0.05912789,0.05884908,0.35459366,0.03948823
4000.0,0.6534,3.0,-2.5,-9.83764,1453.34,0.28759447,0.27245948,0.05500757,0.055056203,0.055104878,0.055055976,0.0546987,0.3298822,0.036639318
4000.0,0.6534,3.0,-2.41667,-9.83764,1394.049,0.27792743,0.26436308,0.05722947,0.057278283,0.057327136,0.05727805,0.05690814,0.34320167,0.038120467
4000.0,0.6534,3.0,-2.33333,-9.83764,1337.4089,0.26799428,0.2558969,0.05953094,0.05957987,0.059628848,0.059579626,0.059196707,0.35699794,0.0396547
4000.0,0.6534,3.0,-2.25,-9.83764,1283.3451,0.2577943,0.24706258,0.06191187,0.06196086,0.06200989,0.061960604,0.061564293,0.37127033,0.041241944
4000.0,0.6534,3.0,-2.16667,-9.83764,1231.7689,0.24732551,0.2378611,0.06437238,0.06442136,0.06447038,0.064421095,0.064011015,0.3860196,0.042882297
4000.0,0.6534,3.0,-2.08333,-9.83764,1182.5995,0.23658876,0.22829601,0.06691194,0.06696083,0.06700975,0.06696055,0.06653634,0.4012424,0.044575393
4000.0,0.6534,3.0,-2.0,-9.83764,1135.7787,0.22559212,0.21837771,0.06952824,0.06957694,0.06962568,0.06957665,0.06913797,0.41692495,0.04631971
4000.0,0.6534,3.0,-1.91667,-9.83764,1091.236,0.21434367,0.20811704,0.072218895,0.07226733,0.0723158,0.07226703,0.07181355,0.43305302,0.048113663
4000.0,0.6534,3.0,-1.83333,-9.83764,1048.9065,0.20285584,0.19752923,0.074980475,0.07502853,0.07507662,0.07502822,0.07455966,0.44960588,0.049954966
4000.0,0.6534,3.0,-1.75,-9.83764,1008.7451,0.1911503,0.18663846,0.07780724,0.07785481,0.07790241,0.077854484,0.077370584,0.46654916,0.051839802
4000.0,0.6534,3.0,-1.66667,-9.83764,970.6953,0.17925023,0.17547098,0.080693014,0.08073997,0.08078695,0.08073963,0.08024019,0.48384577,0.05376406
4000.0,0.6534,3.0,-1.58333,-9.83764,934.7054,0.1671851,0.16405937,0.08363004,0.08367625,0.08372248,0.0836759,0.08316076,0.5014492,0.055722572
4000.0,0.6534,3.0,-1.5,-9.83764,900.7401,0.15499565,0.15244749,0.08660774,0.086653054,0.0866984,0.086652696,0.086121775,0.51929605,0.057708293
4000.0,0.6534,3.0,-1.41667,-9.83764,868.75446,0.1427258,0.14068288,0.089614674,0.08965895,0.089703254,0.08965858,0.08911187,0.5373177,0.05971361
4000.0,0.6534,3.0,-1.33333,-9.83764,838.7074,0.13042742,0.12882122,0.0926374,0.09268048,0.09272358,0.09268009,0.09211766,0.55543345,0.061729558
4000.0,0.6534,3.0,-1.25,-9.83764,810.5718,0.11816516,0.11693116,0.09565924,0.09570095,0.09574267,0.095700555,0.09512258,0.5735435,0.06374504
